ID,SUB_ID,FILE_ID,RT,F0,LSF,MEL,MFCC,MFCC_D1,MFCC_D2,TEMP,PERCP,SPECT
1,CMU_13,LS_2843_152918_0001_SWT_LS_7447_91187_0030_tChange_5253_ms_rstamp_6033_ms_flag_1_lid_CMU_13,780.0000,1.8546,1.7973,3.8819,2.8546,1.2736,1.2224,1.6094,4.8555,3.4887
1,CMU_13,LS_2843_152918_0002_SWT_LS_7505_83618_0010_tChange_5893_ms_rstamp_6382_ms_flag_1_lid_CMU_13,489.0000,3.0213,1.7528,2.5065,2.0297,1.5501,3.1504,2.0294,3.7719,2.3702
1,CMU_13,LS_2843_152918_0004_SWT_LS_7505_83618_0024_tChange_5234_ms_rstamp_5522_ms_flag_1_lid_CMU_13,288.0000,1.0011,4.2327,2.8419,3.8679,2.8713,3.4120,1.2904,3.6131,1.2170
1,CMU_13,LS_2843_152918_0009_SWT_LS_374_180299_0033_tChange_6129_ms_rstamp_6677_ms_flag_1_lid_CMU_13,548.0000,0.7128,3.4726,1.4203,3.7235,1.9058,1.0229,0.8596,2.5567,2.1855
1,CMU_13,LS_2843_152918_0010_SWT_LS_7447_91187_0061_tChange_5998_ms_rstamp_6323_ms_flag_1_lid_CMU_13,325.0000,0.4779,2.7664,1.9798,3.1701,3.5138,2.2755,1.8616,2.7780,3.5370
1,CMU_13,LS_2843_152918_0011_SWT_LS_7505_83618_0015_tChange_6339_ms_rstamp_6776_ms_flag_1_lid_CMU_13,437.0000,3.6905,3.1282,3.6053,2.7488,2.4167,1.8395,0.5699,4.2233,2.2713
1,CMU_13,LS_2843_152918_0013_SWT_LS_374_180298_0015_tChange_6463_ms_rstamp_6823_ms_flag_1_lid_CMU_13,360.0000,1.9618,3.1889,3.9000,3.3866,1.8704,3.5246,1.4812,3.3586,1.5936
1,CMU_13,LS_2843_152918_0015_SWT_LS_7505_258958_0035_tChange_5260_ms_rstamp_6036_ms_flag_1_lid_CMU_13,776.0000,1.2389,3.4507,1.0216,3.3745,2.7458,2.8601,0.2033,3.4862,2.5501
1,CMU_13,LS_2843_152918_0016_SWT_LS_5456_62043_0017_tChange_5837_ms_rstamp_6449_ms_flag_1_lid_CMU_13,612.0000,1.0013,3.4333,2.8646,2.7085,2.8191,1.2439,1.1317,3.7351,2.6814
1,CMU_13,LS_2843_152918_0023_SWT_LS_5456_62043_0002_tChange_5959_ms_rstamp_6298_ms_flag_1_lid_CMU_13,339.0000,1.5056,4.5913,3.6467,3.7943,2.9663,2.7281,1.7434,2.5550,3.0828
1,CMU_13,LS_2843_152918_0025_SWT_LS_7447_91186_0038_tChange_5754_ms_rstamp_6290_ms_flag_1_lid_CMU_13,536.0000,0.9596,2.7628,1.7693,2.2748,2.0995,1.5607,0.2833,3.1886,2.2024
1,CMU_13,LS_2843_152918_0026_SWT_LS_5456_62014_0011_tChange_5528_ms_rstamp_5970_ms_flag_1_lid_CMU_13,442.0000,3.2864,2.4696,3.1768,2.7465,2.7170,1.6387,3.1014,2.9371,1.2321
1,CMU_13,LS_2843_152918_0028_SWT_LS_5456_58161_0003_tChange_5786_ms_rstamp_6320_ms_flag_1_lid_CMU_13,534.0000,2.8847,4.1667,4.5332,4.2643,2.0331,2.0767,0.5254,3.0884,2.6719
1,CMU_13,LS_2843_152918_0029_SWT_LS_7505_258964_0019_tChange_6245_ms_rstamp_6827_ms_flag_1_lid_CMU_13,582.0000,1.9866,2.0574,4.2089,2.0229,1.2447,2.1399,1.7282,4.1353,1.3905
